Current Ratio Results,,,,,
 Year ,2019,2020,2021,2022,2023
 African Distillers , 2.93 , 5.69 , 2.77 , 2.84 , 1.52 
 Dairiboard Holdings , 2.16 , 1.75 , 1.62 , 0.88 , 1.26 
 Delta Corporation , 1.17 , 1.16 , 1.24 , 1.37 , 1.37 
 Hippo Valley Estates , 1.85 , 4.80 , 3.72 , 3.58 , 2.69 
 Star Africa Corporation , 1.07 , 1.22 , 1.58 , 1.60 , 0.72 
 British American , 1.33 , 1.24 , 2.52 , 2.10 , 2.87 
 Ariston Holdings , 2.92 , 2.78 , 2.33 , 2.59 , 0.94 
 Tanganda Estates , 1.99 , 2.19 , 2.11 , 2.41 , 1.88 
 Padenga Holdings , 1.14 , 1.56 , 2.26 , 2.13 , 2.01 
 Seedco , 2.23 , 2.19 , 2.36 , 2.38 , 2.14 
