Firm Size Results,,,,,
,,,,,
Year,2019,2020,2021,2022,2023
Company,,,,,
African Distillers, 17.60 , 20.97 , 21.74 , 22.88 , 24.40 
Dairiboard holdings, 20.83 , 22.39 , 23.30 , 24.87 , 27.31 
Delta Corporation, 20.24 , 22.86 , 24.42 , 25.43 , 27.01 
Hippo Valley Estates, 19.32 , 22.02 , 23.54 , 24.13 , 25.66 
Star Africa Corporation, 18.10 , 20.91 , 22.34 , 23.30 , 24.63 
British American Tobaco, 19.67 , 21.45 , 22.28 , 23.91 , 19.48 
Ariston Holdings, 18.44 , 24.85 , 20.93 , 21.53 , 24.29 
Tanganda Limited, 21.10 , 22.56 , 22.72 , 23.23 , 25.58 
Padenga Holdings, 17.23 , 19.26 , 21.38 , 23.61 , 24.10 
Seedco , 21.03 , 22.41 , 23.64 , 24.52 , 25.55 
