Interest Rates,,,,,
Month,2019,2020,2021,2022,2023
January, 44.11 , 48.29 , 42.95 , 51.88 , 179.28 
February, 44.34 , 48.92 , 39.90 , 64.02 , 161.71 
March, 45.80 , 49.29 , 40.82 , 53.83 ,0
April, 46.15 , 48.87 , 41.17 , 54.73 ,0
May, 45.53 , 48.86 , 40.72 , 55.54 ,0
June, 46.65 , 49.27 , 41.06 , 56.28 ,0
July, 46.78 , 103.23 , 40.74 , 191.98 ,0
August, 49.23 , 105.96 , 52.36 , 186.99 ,0
September, 49.53 , 110.86 , 51.58 , 190.02 ,0
October, 50.27 , 113.56 , 52.18 , 169.03 ,0
November, 48.94 , 112.23 , 51.24 , 167.23 ,0
December, 49.00 , 111.25 , 50.97 , 176.68 ,0
