Return on Assets Results,,,,,
Year,2019,2020,2021,2022,2023
African Distillers, 0.31 , 0.47 , 0.47 , 0.27 , 0.16 
Dairiboard Holdings, 0.34 , 0.02 , 0.04 , 0.12 , 0.09 
Delta Corporation, 0.13 , 0.13 , 0.20 , 0.21 , 0.26 
Hippo Valley Estates, 0.31 , 0.31 , 0.17 , 0.20 , 0.18 
Star Africa Corporation, 0.11 , 0.20 , 0.17 , 0.21 , 0.12 
British American Tobacco,-0.02 , 0.16 , 0.62 , 0.40 , 0.56 
Ariston Holdings, 0.34 , 0.03 ,-0.11 , 0.06 ,-0.18 
Tanganda Limited, 0.06 , 0.01 , 0.47 , 0.07 ,-0.10 
Padenga Limited, 0.26 , 0.28 , 0.32 , 0.26 , 0.19 
Seedco, 0.23 , 0.26 , 0.27 , 0.25 , 0.17 
,,,,,
