AGE,GENDER,POLICYSTATUS,CATEGORY,PREMIUMFREQUENCY,POLICYTERM,INTERESTRATE,INFLATIONRATE,SUMASSURED,PREMIUM
56,1,0,1,1,24,1.11,1.46,100000000,50000000
64,1,0,1,1,16,1.05,1.46,50000000,49849497
52,1,0,1,1,22,1.05,1.46,50000000,49695767
63,1,0,1,1,16,1.05,1.46,50000000,49695767
70,1,0,1,1,16,1.05,1.46,50000000,49370589
69,1,0,1,1,17,1.05,1.46,50000000,48765934
62,1,0,1,1,15,1.15,1.46,65000000,48750000
61,1,0,1,1,17,1.05,1.46,49000000,48701851
51,1,0,1,1,28,1.15,1.46,53000000,48583333
66,1,0,1,1,16,1,1.46,65000000,48348067
54,1,0,1,1,20,1.05,1.46,49000000,48299235
64,1,0,1,1,19,1.15,1.46,55000000,48125000
53,0,0,1,1,25,1.05,1.46,48000000,47707936
56,1,0,1,1,21,1.05,1.46,48000000,47707936
52,1,0,1,1,29,1.05,1.46,48000000,47707936
60,1,0,1,1,20,1.05,1.46,48000000,47707936
58,1,0,1,1,23,1.05,1.46,50000000,47192999
69,1,0,1,1,20,1.05,1.46,47000000,46714021
68,1,0,1,1,20,1.05,1.46,47000000,46714021
58,0,0,1,1,30,1.05,1.46,48000000,46679048
57,1,0,1,1,30,1.05,1.46,47000000,46414189
60,1,0,1,1,17,1.05,1.46,48000000,46131396
54,1,0,1,1,28,1.15,1.46,48000000,46000000
61,1,0,1,1,20,1.15,1.46,48000000,46000000
55,1,0,1,1,24,1.1,1.46,50000000,45833333
62,1,0,1,1,15,1.05,1.46,47000000,45789340
56,1,0,1,1,23,1.05,1.46,46000000,45426653
67,1,0,1,1,17,1.05,1.46,46000000,45426653
69,1,0,1,1,18,1.05,1.46,46000000,45426653
66,1,0,1,1,18,1.05,1.46,45500000,45223148
58,1,0,1,1,26,1.15,1.46,60000000,45000000
59,1,0,1,1,26,1.15,1.46,60000000,45000000
64,1,0,1,1,17,1.15,1.46,60000000,45000000
69,0,0,1,1,18,1.05,1.46,45500000,44746658
54,1,0,1,1,20,1.05,1.46,45500000,44746658
66,1,0,1,1,19,1.05,1.46,45000000,44726190
56,0,0,1,1,21,1.05,1.46,45000000,44439117
53,0,0,1,1,21,1.05,1.46,45000000,44439117
65,0,0,1,1,19,1.05,1.46,45500000,44377000
66,0,0,1,1,15,1.05,1.46,45500000,44257661
63,1,0,1,1,16,1.05,1.46,45000000,44243423
61,1,0,1,1,19,1.05,1.46,45000000,44243423
58,1,0,1,1,25,1.05,1.46,45000000,44119471
61,1,0,1,1,18,1.05,1.46,45000000,43799932
65,1,0,1,1,15,1.05,1.46,45000000,43771313
70,1,0,1,1,19,1.05,1.46,45000000,43682775
57,1,0,1,1,23,1.05,1.46,44000000,43451581
53,1,0,1,1,20,1.05,1.46,45000000,43248184
61,1,0,1,1,17,1.05,1.46,45000000,43235282
52,0,0,1,1,28,1.05,1.46,45000000,43214147
54,1,0,1,1,23,1.05,1.46,45000000,42945121
63,0,0,1,1,20,1.15,1.46,50000000,41666667
50,1,0,1,1,28,1.05,1.46,42000000,41304608
57,1,0,1,1,22,1.15,1.46,45000000,41250000
63,1,0,1,1,18,1.05,1.46,43000000,41212776
68,1,0,1,1,17,1.05,1.46,40000000,39337722
58,1,0,1,1,20,1.15,1.46,52000000,39000000
66,1,0,1,1,18,1.15,1.46,48000000,38000000
69,1,0,1,1,20,1.15,1.46,45000000,35625000
59,1,0,1,1,22,1.05,1.46,37000000,35601567
53,1,0,1,1,24,1.05,1.46,35200000,34985820
65,1,0,1,1,15,1.15,1.46,41000000,34166667
55,1,0,1,1,20,1.15,1.46,37000000,33916667
53,1,0,1,1,23,1.05,1.46,35000000,33851247
63,0,0,1,1,17,1.05,1.46,35000000,33793247
65,1,0,1,1,18,1.15,1.46,45000000,33750000
60,1,0,1,1,16,1.15,1.46,45000000,33750000
62,1,0,1,1,15,1.15,1.46,35000000,33541667
53,1,0,1,1,21,1.15,1.46,35000000,33541667
51,1,0,1,1,22,1.05,1.46,34500000,33495948
59,1,0,1,1,25,1.05,1.46,34000000,33437063
53,1,0,1,1,22,1.15,1.46,40000000,33333333
50,1,0,1,1,25,1.15,1.46,38000000,33250000
62,1,0,1,1,17,1.15,1.46,37000000,32375000
60,1,0,1,1,18,1.05,1.46,32360000,32262594
55,1,0,1,1,25,1.15,1.46,43000000,32250000
62,1,0,1,1,19,1.15,1.46,35000000,32083333
54,1,0,1,1,28,1.05,1.46,35000000,31860476
66,1,0,1,1,19,1.15,1.46,40000000,31666667
60,1,0,1,1,16,1.15,1.46,40000000,31666667
65,1,0,1,1,17,1.15,1.46,33000000,31625000
52,1,0,1,1,29,1.15,1.46,42000000,31500000
53,1,0,1,1,20,1.15,1.46,42000000,31500000
55,1,0,1,1,23,1.15,1.46,42000000,31500000
51,1,0,1,1,30,1.15,1.46,39000000,30875000
64,1,0,1,1,18,1.15,1.46,37000000,30833333
69,1,0,1,1,19,1.15,1.46,37000000,30833333
51,1,0,1,1,24,1.15,1.46,33000000,30250000
69,1,0,1,1,18,1.15,1.46,38000000,30083333
61,1,0,1,1,17,1.15,1.46,38000000,30083333
40,1,1,1,1,27,0.25,1.46,134700000,29823018
68,1,0,1,1,15,1.05,1.46,30000000,29817460
68,1,0,1,1,16,1.05,1.46,30000000,29817460
66,1,0,1,1,20,1.05,1.46,30000000,29429680
70,1,0,1,1,19,1.15,1.46,32000000,29333333
64,0,0,1,1,19,1.15,1.46,35000000,29166667
68,1,0,1,1,20,1.15,1.46,30000000,28750000
54,1,0,1,1,24,1.05,1.46,30000000,28624221
69,1,0,1,1,17,1.15,1.46,29000000,28493473
67,0,0,1,1,18,1.05,1.46,28000000,27829629
67,1,0,1,1,19,1.05,1.46,28000000,27829629
53,1,0,1,1,28,1.15,1.46,35000000,27708333
56,1,0,1,1,23,1.15,1.46,35000000,27708333
59,1,0,1,1,21,1.05,1.46,28000000,27674786
52,1,0,1,1,23,1.15,1.46,30000000,27500000
60,1,0,1,1,16,1.15,1.46,30000000,27500000
57,1,0,1,1,21,1.15,1.46,30000000,27500000
51,1,0,1,1,30,1.06,1.46,65000000,27083333
70,1,0,1,1,17,1.15,1.46,36000000,27000000
65,1,0,1,1,16,1.15,1.46,34000000,26916667
56,1,0,1,1,29,1.05,1.46,27000000,26835714
51,1,0,1,1,22,1.15,1.46,28000000,26833333
53,0,0,1,1,29,1.05,1.46,27000000,26552962
61,1,0,1,1,15,1.15,1.46,30000000,26250000
68,1,0,1,1,17,1.15,1.46,30000000,26250000
58,1,0,1,1,25,1.15,1.46,33000000,26125000
51,1,0,1,1,22,1.05,1.46,26500000,26054460
66,1,0,1,1,18,1.15,1.46,31000000,25833333
67,1,0,1,1,20,1.05,1.46,26000000,25713731
57,1,0,1,1,25,1.15,1.46,28000000,25666667
69,1,0,1,1,19,1.15,1.46,34000000,25500000
55,1,0,1,1,21,1.05,1.46,26000000,25494673
56,0,0,1,1,29,1.15,1.46,32000000,25333333
67,1,0,1,1,18,1.15,1.46,32000000,25333333
58,1,0,1,1,20,1.15,1.46,32000000,25333333
53,1,0,1,1,25,1.15,1.46,32000000,25333333
63,1,0,1,1,18,1.15,1.46,30000000,25000000
65,1,0,1,1,19,1.15,1.46,30000000,25000000
61,1,0,1,1,18,1.15,1.46,30000000,25000000
62,1,0,1,1,18,1.05,1.46,25000000,24858079
58,1,0,1,1,30,1.05,1.46,25000000,24847883
66,1,0,1,1,19,1.05,1.46,25000000,24847883
59,1,0,1,1,20,1.15,1.46,33000000,24750000
54,1,0,1,1,24,1.15,1.46,27000000,24750000
70,1,0,1,1,18,1.05,1.46,25000000,24709631
68,1,0,1,1,16,1.05,1.46,25000000,24688398
58,0,0,1,1,27,1.05,1.46,25000000,24586076
68,1,0,1,1,20,1.05,1.46,25000000,24458064
57,1,0,1,1,24,1.15,1.46,30800000,24383333
51,1,0,1,1,27,1.15,1.46,24500000,24072072
70,1,0,1,1,18,1.15,1.46,32000000,24000000
53,1,0,1,1,28,1.15,1.46,32000000,24000000
60,1,0,1,1,18,1.15,1.46,25000000,23958333
55,1,0,1,1,20,1.05,1.46,25000000,23923972
67,0,0,1,1,18,1.15,1.46,26000000,23833333
50,1,0,1,1,22,1.15,1.46,30000000,23750000
68,1,0,1,1,15,1.15,1.46,30000000,23750000
59,1,0,1,1,27,1.15,1.46,30000000,23750000
54,1,0,1,1,20,1.15,1.46,30000000,23750000
58,1,0,1,1,26,1.15,1.46,30000000,23750000
52,1,0,1,1,23,1.15,1.46,30000000,23750000
56,1,0,1,1,26,1.05,1.46,24000000,23700862
50,1,0,1,1,23,1.05,1.46,24000000,23602633
70,1,0,1,1,17,1.15,1.46,40000000,23272222
67,0,0,1,1,17,1.15,1.46,34500000,23000000
66,1,0,1,1,17,1.05,1.46,23000000,22860053
51,1,0,1,1,29,1.15,1.46,32000000,22666667
58,1,1,1,1,22,0.15,1.46,1484000000,22661656
63,0,0,1,1,17,1.05,1.46,23000000,22624090
66,1,0,1,1,16,1.05,1.46,23000000,22549952
70,1,0,1,1,16,1.15,1.46,30000000,22500000
54,1,0,1,1,21,1.15,1.46,30000000,22500000
51,1,0,1,1,30,1.15,1.46,22700000,22431774
52,1,0,1,1,29,1.05,1.46,22500000,22179024
61,1,1,1,1,15,1.15,1.46,34500000,22129294
70,0,0,1,1,17,1.15,1.46,23000000,22041667
51,1,0,1,1,27,1.05,1.46,22000000,21866137
59,1,0,1,1,21,1.05,1.46,22500000,21782809
70,1,0,1,1,17,1.15,1.46,27500000,21770833
70,1,0,1,1,15,1.05,1.46,22000000,21572416
56,1,0,1,1,24,1.15,1.46,27000000,21375000
61,1,0,1,1,20,1.15,1.46,27000000,21375000
70,1,0,1,1,19,1.05,1.46,21500000,21369180
59,1,0,1,1,24,1.05,1.46,22000000,21143557
61,1,0,1,1,20,1.15,1.46,23000000,21083333
60,1,0,1,1,18,1.15,1.46,23000000,21083333
62,1,0,1,1,17,1.15,1.46,23000000,21083333
61,1,0,1,1,19,1.15,1.46,24000000,21000000
68,1,0,1,1,16,1.15,1.46,24000000,21000000
63,1,0,1,1,17,1.05,1.46,21000000,20872222
63,1,0,1,1,19,1.05,1.46,20500000,20375264
59,1,0,1,1,22,1.15,1.46,50000000,20212674
50,1,0,1,1,28,1.15,1.46,22000000,20166667
57,1,0,1,1,21,1.05,1.46,20500000,20160582
63,0,0,1,1,17,1.15,1.46,21000000,20125000
50,1,0,1,1,30,1.15,1.46,23000000,20125000
